batch,DSB2_loci,time_point,replicate,alignment_name,cis_trans,DSB,combo,repeat,allele,count
8,chr15,180,1,CIS_DSB1_FULL_CHRIII_L02,CIS,DSB1,A_to_B,INTACT,CHRIII_L02,4458
8,chr15,180,1,CIS_DSB1_FULL_CHRIII_L03,CIS,DSB1,A_to_B,INTACT,CHRIII_L03,17067
8,chr15,180,1,CIS_DSB1_FULL_CHRIII_L04,CIS,DSB1,A_to_B,INTACT,CHRIII_L04,17488
8,chr15,180,1,CIS_DSB1_FULL_CHRIV_L01,CIS,DSB1,A_to_B,INTACT,CHRIV_L01,6459
8,chr15,180,1,CIS_DSB1_FULL_CHRIV_L03,CIS,DSB1,A_to_B,INTACT,CHRIV_L03,14814
8,chr15,180,1,CIS_DSB1_FULL_CHRIV_L06_2,CIS,DSB1,A_to_B,INTACT,CHRIV_L06_2,9638
8,chr15,180,1,CIS_DSB1_FULL_CHRIV_L10_2,CIS,DSB1,A_to_B,INTACT,CHRIV_L10_2,7560
8,chr15,180,1,CIS_DSB1_FULL_CHRIV_L12_2,CIS,DSB1,A_to_B,INTACT,CHRIV_L12_2,8425
8,chr15,180,1,CIS_DSB1_FULL_CHRIV_L13,CIS,DSB1,A_to_B,INTACT,CHRIV_L13,6711
8,chr15,180,1,CIS_DSB1_FULL_CHRIV_L15_2,CIS,DSB1,A_to_B,INTACT,CHRIV_L15_2,5442
8,chr15,180,1,CIS_DSB1_FULL_CHRVII_990K,CIS,DSB1,A_to_B,INTACT,CHRVII_990K,4919
8,chr15,180,1,CIS_DSB1_FULL_CHRVII_L03,CIS,DSB1,A_to_B,INTACT,CHRVII_L03,3982
8,chr15,180,1,CIS_DSB1_FULL_CHRVII_L06,CIS,DSB1,A_to_B,INTACT,CHRVII_L06,17018
8,chr15,180,1,CIS_DSB1_FULL_CHRVII_L09,CIS,DSB1,A_to_B,INTACT,CHRVII_L09,10134
8,chr15,180,1,CIS_DSB1_FULL_CHRXII_L01,CIS,DSB1,A_to_B,INTACT,CHRXII_L01,6259
8,chr15,180,1,CIS_DSB1_FULL_CHRXII_L05,CIS,DSB1,A_to_B,INTACT,CHRXII_L05,6652
8,chr15,180,1,CIS_DSB1_FULL_CHRXII_L07,CIS,DSB1,A_to_B,INTACT,CHRXII_L07,9162
8,chr15,180,1,CIS_DSB1_FULL_CHRXII_L12,CIS,DSB1,A_to_B,INTACT,CHRXII_L12,25576
8,chr15,180,1,CIS_DSB1_FULL_CHRXV_L01,CIS,DSB1,A_to_B,INTACT,CHRXV_L01,19659
8,chr15,180,1,CIS_DSB1_FULL_CHRXV_L04,CIS,DSB1,A_to_B,INTACT,CHRXV_L04,11
8,chr15,180,1,CIS_DSB1_FULL_CHRXV_L15,CIS,DSB1,A_to_B,INTACT,CHRXV_L15,10683
8,chr15,180,1,CIS_DSB1_FULL_CHRXV_L17_2,CIS,DSB1,A_to_B,INTACT,CHRXV_L17_2,9245
8,chr15,180,1,CIS_DSB1_FULL_CHRXV_L18_1PERCENT_CONTROL,CIS,DSB1,A_to_B,INTACT,CHRXV_L18_1PERCENT_CONTROL,1318
8,chr15,180,1,CIS_DSB1_FULL_DSB2_COMMON,CIS,DSB1,A_to_B,INTACT,COMMON,24
8,chr15,180,1,CIS_DSB1_FULL_DSB2_NO_CUT,CIS,DSB1,A_to_B,INTACT,NO_CUT,5
8,chr15,180,1,CIS_DSB1_FULL_NO_CUT,CIS,DSB1,A_to_B,INTACT,NO_CUT,11809
8,chr15,180,1,CIS_DSB1_NO_REPEAT_CHRIII_L02,CIS,DSB1,A_to_B,SSA,CHRIII_L02,25254
8,chr15,180,1,CIS_DSB1_NO_REPEAT_CHRIII_L03,CIS,DSB1,A_to_B,SSA,CHRIII_L03,81255
8,chr15,180,1,CIS_DSB1_NO_REPEAT_CHRIII_L04,CIS,DSB1,A_to_B,SSA,CHRIII_L04,53064
8,chr15,180,1,CIS_DSB1_NO_REPEAT_CHRIV_L01,CIS,DSB1,A_to_B,SSA,CHRIV_L01,41666
8,chr15,180,1,CIS_DSB1_NO_REPEAT_CHRIV_L03,CIS,DSB1,A_to_B,SSA,CHRIV_L03,77241
8,chr15,180,1,CIS_DSB1_NO_REPEAT_CHRIV_L06_2,CIS,DSB1,A_to_B,SSA,CHRIV_L06_2,53336
8,chr15,180,1,CIS_DSB1_NO_REPEAT_CHRIV_L10_2,CIS,DSB1,A_to_B,SSA,CHRIV_L10_2,35991
8,chr15,180,1,CIS_DSB1_NO_REPEAT_CHRIV_L12_2,CIS,DSB1,A_to_B,SSA,CHRIV_L12_2,33400
8,chr15,180,1,CIS_DSB1_NO_REPEAT_CHRIV_L13,CIS,DSB1,A_to_B,SSA,CHRIV_L13,32377
8,chr15,180,1,CIS_DSB1_NO_REPEAT_CHRIV_L15_2,CIS,DSB1,A_to_B,SSA,CHRIV_L15_2,33552
8,chr15,180,1,CIS_DSB1_NO_REPEAT_CHRVII_990K,CIS,DSB1,A_to_B,SSA,CHRVII_990K,26341
8,chr15,180,1,CIS_DSB1_NO_REPEAT_CHRVII_L03,CIS,DSB1,A_to_B,SSA,CHRVII_L03,24310
8,chr15,180,1,CIS_DSB1_NO_REPEAT_CHRVII_L06,CIS,DSB1,A_to_B,SSA,CHRVII_L06,95233
8,chr15,180,1,CIS_DSB1_NO_REPEAT_CHRVII_L09,CIS,DSB1,A_to_B,SSA,CHRVII_L09,63017
8,chr15,180,1,CIS_DSB1_NO_REPEAT_CHRXII_L01,CIS,DSB1,A_to_B,SSA,CHRXII_L01,39101
8,chr15,180,1,CIS_DSB1_NO_REPEAT_CHRXII_L05,CIS,DSB1,A_to_B,SSA,CHRXII_L05,24443
8,chr15,180,1,CIS_DSB1_NO_REPEAT_CHRXII_L07,CIS,DSB1,A_to_B,SSA,CHRXII_L07,36781
8,chr15,180,1,CIS_DSB1_NO_REPEAT_CHRXII_L12,CIS,DSB1,A_to_B,SSA,CHRXII_L12,114316
8,chr15,180,1,CIS_DSB1_NO_REPEAT_CHRXV_L01,CIS,DSB1,A_to_B,SSA,CHRXV_L01,164758
8,chr15,180,1,CIS_DSB1_NO_REPEAT_CHRXV_L04,CIS,DSB1,A_to_B,SSA,CHRXV_L04,63
8,chr15,180,1,CIS_DSB1_NO_REPEAT_CHRXV_L15,CIS,DSB1,A_to_B,SSA,CHRXV_L15,31676
8,chr15,180,1,CIS_DSB1_NO_REPEAT_CHRXV_L17_2,CIS,DSB1,A_to_B,SSA,CHRXV_L17_2,53538
8,chr15,180,1,CIS_DSB1_NO_REPEAT_CHRXV_L18_1PERCENT_CONTROL,CIS,DSB1,A_to_B,SSA,CHRXV_L18_1PERCENT_CONTROL,9409
8,chr15,180,1,CIS_DSB1_NO_REPEAT_DSB2_COMMON,CIS,DSB1,A_to_B,SSA,COMMON,85
8,chr15,180,1,CIS_DSB1_NO_REPEAT_DSB2_NO_CUT,CIS,DSB1,A_to_B,SSA,NO_CUT,16
8,chr15,180,1,CIS_DSB1_NO_REPEAT_NO_CUT,CIS,DSB1,A_to_B,SSA,NO_CUT,127230
8,chr15,180,1,CIS_DSB2_FULL_COMMON,CIS,DSB2,C_to_D,INTACT,COMMON,527722
8,chr15,180,1,CIS_DSB2_FULL_DSB1_CHRIII_L02,CIS,DSB2,C_to_D,INTACT,CHRIII_L02,31
8,chr15,180,1,CIS_DSB2_FULL_DSB1_CHRIII_L03,CIS,DSB2,C_to_D,INTACT,CHRIII_L03,147
8,chr15,180,1,CIS_DSB2_FULL_DSB1_CHRIII_L04,CIS,DSB2,C_to_D,INTACT,CHRIII_L04,25
8,chr15,180,1,CIS_DSB2_FULL_DSB1_CHRIV_L01,CIS,DSB2,C_to_D,INTACT,CHRIV_L01,22
8,chr15,180,1,CIS_DSB2_FULL_DSB1_CHRIV_L03,CIS,DSB2,C_to_D,INTACT,CHRIV_L03,14
8,chr15,180,1,CIS_DSB2_FULL_DSB1_CHRIV_L06_2,CIS,DSB2,C_to_D,INTACT,CHRIV_L06_2,24
8,chr15,180,1,CIS_DSB2_FULL_DSB1_CHRIV_L10_2,CIS,DSB2,C_to_D,INTACT,CHRIV_L10_2,4
8,chr15,180,1,CIS_DSB2_FULL_DSB1_CHRIV_L12_2,CIS,DSB2,C_to_D,INTACT,CHRIV_L12_2,128
8,chr15,180,1,CIS_DSB2_FULL_DSB1_CHRIV_L13,CIS,DSB2,C_to_D,INTACT,CHRIV_L13,8
8,chr15,180,1,CIS_DSB2_FULL_DSB1_CHRIV_L15_2,CIS,DSB2,C_to_D,INTACT,CHRIV_L15_2,63
8,chr15,180,1,CIS_DSB2_FULL_DSB1_CHRVII_990K,CIS,DSB2,C_to_D,INTACT,CHRVII_990K,13
8,chr15,180,1,CIS_DSB2_FULL_DSB1_CHRVII_L03,CIS,DSB2,C_to_D,INTACT,CHRVII_L03,76
8,chr15,180,1,CIS_DSB2_FULL_DSB1_CHRVII_L06,CIS,DSB2,C_to_D,INTACT,CHRVII_L06,21
8,chr15,180,1,CIS_DSB2_FULL_DSB1_CHRVII_L09,CIS,DSB2,C_to_D,INTACT,CHRVII_L09,7
8,chr15,180,1,CIS_DSB2_FULL_DSB1_CHRXII_L01,CIS,DSB2,C_to_D,INTACT,CHRXII_L01,1
8,chr15,180,1,CIS_DSB2_FULL_DSB1_CHRXII_L05,CIS,DSB2,C_to_D,INTACT,CHRXII_L05,33
8,chr15,180,1,CIS_DSB2_FULL_DSB1_CHRXII_L07,CIS,DSB2,C_to_D,INTACT,CHRXII_L07,30
8,chr15,180,1,CIS_DSB2_FULL_DSB1_CHRXII_L12,CIS,DSB2,C_to_D,INTACT,CHRXII_L12,14
8,chr15,180,1,CIS_DSB2_FULL_DSB1_CHRXV_L01,CIS,DSB2,C_to_D,INTACT,CHRXV_L01,1
8,chr15,180,1,CIS_DSB2_FULL_DSB1_CHRXV_L04,CIS,DSB2,C_to_D,INTACT,CHRXV_L04,56
8,chr15,180,1,CIS_DSB2_FULL_DSB1_CHRXV_L15,CIS,DSB2,C_to_D,INTACT,CHRXV_L15,16
8,chr15,180,1,CIS_DSB2_FULL_DSB1_CHRXV_L17_2,CIS,DSB2,C_to_D,INTACT,CHRXV_L17_2,4
8,chr15,180,1,CIS_DSB2_FULL_DSB1_CHRXV_L18_1PERCENT_CONTROL,CIS,DSB2,C_to_D,INTACT,CHRXV_L18_1PERCENT_CONTROL,3
8,chr15,180,1,CIS_DSB2_FULL_DSB1_NO_CUT,CIS,DSB2,C_to_D,INTACT,NO_CUT,18
8,chr15,180,1,CIS_DSB2_FULL_NO_CUT,CIS,DSB2,C_to_D,INTACT,NO_CUT,5265
8,chr15,180,1,CIS_DSB2_NO_REPEAT_COMMON,CIS,DSB2,C_to_D,SSA,COMMON,1155167
8,chr15,180,1,CIS_DSB2_NO_REPEAT_DSB1_CHRIII_L02,CIS,DSB2,C_to_D,SSA,CHRIII_L02,68
8,chr15,180,1,CIS_DSB2_NO_REPEAT_DSB1_CHRIII_L03,CIS,DSB2,C_to_D,SSA,CHRIII_L03,508
8,chr15,180,1,CIS_DSB2_NO_REPEAT_DSB1_CHRIII_L04,CIS,DSB2,C_to_D,SSA,CHRIII_L04,105
8,chr15,180,1,CIS_DSB2_NO_REPEAT_DSB1_CHRIV_L01,CIS,DSB2,C_to_D,SSA,CHRIV_L01,54
8,chr15,180,1,CIS_DSB2_NO_REPEAT_DSB1_CHRIV_L03,CIS,DSB2,C_to_D,SSA,CHRIV_L03,41
8,chr15,180,1,CIS_DSB2_NO_REPEAT_DSB1_CHRIV_L06_2,CIS,DSB2,C_to_D,SSA,CHRIV_L06_2,91
8,chr15,180,1,CIS_DSB2_NO_REPEAT_DSB1_CHRIV_L10_2,CIS,DSB2,C_to_D,SSA,CHRIV_L10_2,14
8,chr15,180,1,CIS_DSB2_NO_REPEAT_DSB1_CHRIV_L12_2,CIS,DSB2,C_to_D,SSA,CHRIV_L12_2,365
