batch,DSB2_loci,time_point,replicate,alignment_name,cis_trans,DSB,combo,allele,count
4,chr7,120,1,CIS_A_to_B_DSB1_Chr12_L01,CIS,DSB1,A_to_B,Chr12_L01,11523
4,chr7,120,1,CIS_A_to_B_DSB1_Chr12_L05,CIS,DSB1,A_to_B,Chr12_L05,12549
4,chr7,120,1,CIS_A_to_B_DSB1_Chr12_L07,CIS,DSB1,A_to_B,Chr12_L07,16979
4,chr7,120,1,CIS_A_to_B_DSB1_Chr12_L12,CIS,DSB1,A_to_B,Chr12_L12,21949
4,chr7,120,1,CIS_A_to_B_DSB1_Chr15_L01,CIS,DSB1,A_to_B,Chr15_L01,21004
4,chr7,120,1,CIS_A_to_B_DSB1_Chr15_L04,CIS,DSB1,A_to_B,Chr15_L04,48
4,chr7,120,1,CIS_A_to_B_DSB1_Chr15_L15,CIS,DSB1,A_to_B,Chr15_L15,12106
4,chr7,120,1,CIS_A_to_B_DSB1_Chr15_L17_2,CIS,DSB1,A_to_B,Chr15_L17_2,21774
4,chr7,120,1,CIS_A_to_B_DSB1_Chr15_L18,CIS,DSB1,A_to_B,Chr15_L18,4461
4,chr7,120,1,CIS_A_to_B_DSB1_Chr3_L02,CIS,DSB1,A_to_B,Chr3_L02,34599
4,chr7,120,1,CIS_A_to_B_DSB1_Chr3_L03,CIS,DSB1,A_to_B,Chr3_L03,32
4,chr7,120,1,CIS_A_to_B_DSB1_Chr3_L04,CIS,DSB1,A_to_B,Chr3_L04,57508
4,chr7,120,1,CIS_A_to_B_DSB1_Chr4_L01,CIS,DSB1,A_to_B,Chr4_L01,14117
4,chr7,120,1,CIS_A_to_B_DSB1_Chr4_L03,CIS,DSB1,A_to_B,Chr4_L03,17993
4,chr7,120,1,CIS_A_to_B_DSB1_Chr4_L06_2,CIS,DSB1,A_to_B,Chr4_L06_2,15929
4,chr7,120,1,CIS_A_to_B_DSB1_Chr4_L10_2,CIS,DSB1,A_to_B,Chr4_L10_2,42767
4,chr7,120,1,CIS_A_to_B_DSB1_Chr4_L12_2,CIS,DSB1,A_to_B,Chr4_L12_2,25836
4,chr7,120,1,CIS_A_to_B_DSB1_Chr4_L13,CIS,DSB1,A_to_B,Chr4_L13,11498
4,chr7,120,1,CIS_A_to_B_DSB1_Chr4_L15_2,CIS,DSB1,A_to_B,Chr4_L15_2,20213
4,chr7,120,1,CIS_A_to_B_DSB1_Chr7_990K,CIS,DSB1,A_to_B,Chr7_990K,6949
4,chr7,120,1,CIS_A_to_B_DSB1_Chr7_L03,CIS,DSB1,A_to_B,Chr7_L03,18239
4,chr7,120,1,CIS_A_to_B_DSB1_Chr7_L06,CIS,DSB1,A_to_B,Chr7_L06,31290
4,chr7,120,1,CIS_A_to_B_DSB1_Chr7_L09,CIS,DSB1,A_to_B,Chr7_L09,15119
4,chr7,120,1,CIS_A_to_B_DSB1_UNCUTTABLE,CIS,DSB1,A_to_B,UNCUTTABLE,103838
4,chr7,120,1,CIS_C_to_D_DSB2_Chr7,CIS,DSB2,C_to_D,Chr7,460116
4,chr7,120,1,CIS_C_to_D_DSB2_UNCUTTABLE,CIS,DSB2,C_to_D,UNCUTTABLE,23505
4,chr7,120,1,TRANS_A_to_D_Chr12_L01,TRANS,TRANS,A_to_D,Chr12_L01,652
4,chr7,120,1,TRANS_A_to_D_Chr12_L05,TRANS,TRANS,A_to_D,Chr12_L05,57
4,chr7,120,1,TRANS_A_to_D_Chr12_L07,TRANS,TRANS,A_to_D,Chr12_L07,136
4,chr7,120,1,TRANS_A_to_D_Chr12_L12,TRANS,TRANS,A_to_D,Chr12_L12,1032
4,chr7,120,1,TRANS_A_to_D_Chr15_L01,TRANS,TRANS,A_to_D,Chr15_L01,741
4,chr7,120,1,TRANS_A_to_D_Chr15_L04,TRANS,TRANS,A_to_D,Chr15_L04,3
4,chr7,120,1,TRANS_A_to_D_Chr15_L15,TRANS,TRANS,A_to_D,Chr15_L15,251
4,chr7,120,1,TRANS_A_to_D_Chr15_L17_2,TRANS,TRANS,A_to_D,Chr15_L17_2,1438
4,chr7,120,1,TRANS_A_to_D_Chr15_L18,TRANS,TRANS,A_to_D,Chr15_L18,11
4,chr7,120,1,TRANS_A_to_D_Chr3_L02,TRANS,TRANS,A_to_D,Chr3_L02,353
4,chr7,120,1,TRANS_A_to_D_Chr3_L03,TRANS,TRANS,A_to_D,Chr3_L03,5
4,chr7,120,1,TRANS_A_to_D_Chr3_L04,TRANS,TRANS,A_to_D,Chr3_L04,1437
4,chr7,120,1,TRANS_A_to_D_Chr4_L01,TRANS,TRANS,A_to_D,Chr4_L01,3084
4,chr7,120,1,TRANS_A_to_D_Chr4_L03,TRANS,TRANS,A_to_D,Chr4_L03,489
4,chr7,120,1,TRANS_A_to_D_Chr4_L06_2,TRANS,TRANS,A_to_D,Chr4_L06_2,1234
4,chr7,120,1,TRANS_A_to_D_Chr4_L10_2,TRANS,TRANS,A_to_D,Chr4_L10_2,811
4,chr7,120,1,TRANS_A_to_D_Chr4_L12_2,TRANS,TRANS,A_to_D,Chr4_L12_2,1259
4,chr7,120,1,TRANS_A_to_D_Chr4_L13,TRANS,TRANS,A_to_D,Chr4_L13,49
4,chr7,120,1,TRANS_A_to_D_Chr4_L15_2,TRANS,TRANS,A_to_D,Chr4_L15_2,658
4,chr7,120,1,TRANS_A_to_D_Chr7_990K,TRANS,TRANS,A_to_D,Chr7_990K,364
4,chr7,120,1,TRANS_A_to_D_Chr7_L03,TRANS,TRANS,A_to_D,Chr7_L03,574
