batch,DSB2_loci,time_point,replicate,alignment_name,cis_trans,DSB,combo,allele,count
4,7,120,2,CIS_A_to_B_DSB1_Chr12_L01,CIS,DSB1,A_to_B,Chr12_L01,8944
4,7,120,2,CIS_A_to_B_DSB1_Chr12_L05,CIS,DSB1,A_to_B,Chr12_L05,18794
4,7,120,2,CIS_A_to_B_DSB1_Chr12_L07,CIS,DSB1,A_to_B,Chr12_L07,7563
4,7,120,2,CIS_A_to_B_DSB1_Chr12_L12,CIS,DSB1,A_to_B,Chr12_L12,7784
4,7,120,2,CIS_A_to_B_DSB1_Chr15_L01,CIS,DSB1,A_to_B,Chr15_L01,12344
4,7,120,2,CIS_A_to_B_DSB1_Chr15_L04,CIS,DSB1,A_to_B,Chr15_L04,22
4,7,120,2,CIS_A_to_B_DSB1_Chr15_L15,CIS,DSB1,A_to_B,Chr15_L15,9603
4,7,120,2,CIS_A_to_B_DSB1_Chr15_L17_2,CIS,DSB1,A_to_B,Chr15_L17_2,10554
4,7,120,2,CIS_A_to_B_DSB1_Chr15_L18,CIS,DSB1,A_to_B,Chr15_L18,1393
4,7,120,2,CIS_A_to_B_DSB1_Chr3_L02,CIS,DSB1,A_to_B,Chr3_L02,17007
4,7,120,2,CIS_A_to_B_DSB1_Chr3_L03,CIS,DSB1,A_to_B,Chr3_L03,7533
4,7,120,2,CIS_A_to_B_DSB1_Chr3_L04,CIS,DSB1,A_to_B,Chr3_L04,61424
4,7,120,2,CIS_A_to_B_DSB1_Chr4_L01,CIS,DSB1,A_to_B,Chr4_L01,10283
4,7,120,2,CIS_A_to_B_DSB1_Chr4_L03,CIS,DSB1,A_to_B,Chr4_L03,11442
4,7,120,2,CIS_A_to_B_DSB1_Chr4_L06_2,CIS,DSB1,A_to_B,Chr4_L06_2,10053
4,7,120,2,CIS_A_to_B_DSB1_Chr4_L10_2,CIS,DSB1,A_to_B,Chr4_L10_2,9892
4,7,120,2,CIS_A_to_B_DSB1_Chr4_L12_2,CIS,DSB1,A_to_B,Chr4_L12_2,13340
4,7,120,2,CIS_A_to_B_DSB1_Chr4_L13,CIS,DSB1,A_to_B,Chr4_L13,6163
4,7,120,2,CIS_A_to_B_DSB1_Chr4_L15_2,CIS,DSB1,A_to_B,Chr4_L15_2,9427
4,7,120,2,CIS_A_to_B_DSB1_Chr7_990K,CIS,DSB1,A_to_B,Chr7_990K,10133
4,7,120,2,CIS_A_to_B_DSB1_Chr7_L03,CIS,DSB1,A_to_B,Chr7_L03,5769
4,7,120,2,CIS_A_to_B_DSB1_Chr7_L06,CIS,DSB1,A_to_B,Chr7_L06,8903
4,7,120,2,CIS_A_to_B_DSB1_Chr7_L09,CIS,DSB1,A_to_B,Chr7_L09,9502
4,7,120,2,CIS_A_to_B_DSB1_UNCUTTABLE,CIS,DSB1,A_to_B,UNCUTTABLE,18595
4,7,120,2,CIS_C_to_D_DSB2_Chr7,CIS,DSB2,C_to_D,Chr7,6737
4,7,120,2,CIS_C_to_D_DSB2_UNCUTTABLE,CIS,DSB2,C_to_D,UNCUTTABLE,15394
4,7,120,2,TRANS_A_to_D_Chr12_L01,TRANS,TRANS,A_to_D,Chr12_L01,240
4,7,120,2,TRANS_A_to_D_Chr12_L05,TRANS,TRANS,A_to_D,Chr12_L05,267
4,7,120,2,TRANS_A_to_D_Chr12_L07,TRANS,TRANS,A_to_D,Chr12_L07,421
4,7,120,2,TRANS_A_to_D_Chr12_L12,TRANS,TRANS,A_to_D,Chr12_L12,1216
4,7,120,2,TRANS_A_to_D_Chr15_L01,TRANS,TRANS,A_to_D,Chr15_L01,377
4,7,120,2,TRANS_A_to_D_Chr15_L04,TRANS,TRANS,A_to_D,Chr15_L04,12
4,7,120,2,TRANS_A_to_D_Chr15_L15,TRANS,TRANS,A_to_D,Chr15_L15,587
